ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
DE,GERMANY,EUR,DE0007164600,SAP,8837.12,6305.0,7134.7,4285.07,9286.11,9874.17,10090.69,11982.06,11886.44,8059.52,11169.74,12139.53,12853.81,19856.79,21671.18,18073.64,20883.99,23060.37,30107.21,27105.77,37208.08,36797.42,40185.31,30021.58
DE,GERMANY,EUR,DE0007236101,SIEMENS,2222.94,2307.73,1799.35,1163.41,2261.91,2421.96,2489.04,2958.27,4787.78,2259.24,2941.17,4076.9,3215.66,3777.01,5121.59,4383.39,3896.73,5089.66,5966.8,4922.06,6006.79,7581.51,9338.61,7661.54
DE,GERMANY,EUR,DE0007257503,CECONOMY,192.4,169.56,132.74,93.58,178.46,227.97,204.45,276.17,370.68,181.01,288.99,348.97,181.73,145.25,266.52,167.16,180.53,194.27,283.78,70.69,118.82,135.36,84.08,40.43
DE,GERMANY,EUR,DE0007297004,SUEDZUCKER,933.36,844.04,1145.57,1348.84,1636.6,1857.55,2178.05,2302.09,2352.02,1573.51,2206.12,2897.18,3559.31,4659.63,3215.05,1777.92,2471.81,3029.03,2826.54,1734.7,2508.23,1995.13,2106.75,2525.61
DE,GERMANY,EUR,DE0007314007,HEIDELB.DRUCKMASCHINEN,199.85,238.49,154.24,98.57,164.53,144.15,165.05,208.61,152.52,42.52,38.61,38.57,12.65,12.54,27.81,19.7,19.13,20.83,26.76,14.17,10.13,7.53,23.49,12.43
DE,GERMANY,EUR,DE0007500001,THYSSENKRUPP,2408.86,1275.89,1256.52,999.15,1832.52,2097.4,2054.59,4832.26,5912.94,2930.47,4527.33,5012.08,2811.53,2916.56,3045.04,3223.49,2496.02,3027.49,3679.05,2182.74,1760.41,1288.2,1414.08,785.46
DE,GERMANY,EUR,DE0007507501,WASHTEC,98.43,51.84,29.05,14.61,15.8,41.9,149.76,213.51,194.66,100.64,119.39,145.63,117.75,147.54,192.84,216.33,492.58,821.28,1527.24,1149.27,1015.6,935.8,1095.75,689.29
DE,GERMANY,EUR,DE0007664039,VOLKSWAGEN PREF.,193.58,191.65,199.6,173.65,258.92,246.59,295.29,592.75,1175.99,445.48,800.87,1441.22,1341.72,2088.43,2651.65,2152.44,1434.75,1385.34,1999.56,1626.98,2088.42,2025.28,2251.99,1688.77
DE,GERMANY,EUR,DE0008232125,DEUTSCHE LUFTHANSA,1387.91,1554.3,852.05,599.15,1120.52,984.86,1045.16,2019.66,2018.41,1282.75,1484.65,1941.03,1088.08,1770.92,2006.83,1619.55,1527.53,1299.6,3812.94,2383.39,2033.61,1468.27,1085.37,1290.24
DE,GERMANY,EUR,DE0008402215,HANNOVER RUECK,224.76,268.16,188.09,235.88,336.93,390.95,363.21,477.06,500.07,366.82,543.48,657.82,647.21,1058.61,1231.09,1360.37,1816.42,1787.67,2167.95,2399.14,3638.86,3146.45,3821.78,4146.03
DE,GERMANY,EUR,DE0008404005,ALLIANZ,6051.68,6832.68,4313.54,1737.24,2664.71,2835.06,3300.84,4535.69,4918.78,2473.48,3136.9,3132.61,2613.15,3992.55,5402.78,5234.58,5851.33,5699.54,8319.93,7544.45,9661.1,10307.37,10290.24,9862.37
DE,GERMANY,EUR,DE0008430026,MUENCHENER RUCK.,10960.67,15534.99,11871.67,5255.24,5718.36,5832.11,6562.15,8630.29,10037.58,8218.53,8907.68,9135.3,7793.51,12030.63,15551.09,14791.68,15383.34,15150.78,18323.34,19111.86,27260.51,28842.29,29637.96,34038.04
DE,GERMANY,EUR,DE000A0WMPJ6,AIXTRON,1648.16,2558.71,1064.85,227.41,292.56,203.52,159.89,214.87,699.67,327.64,1669.14,1849.36,655.68,608.07,759.25,592.29,235.84,169.4,725.66,502.19,501.26,912.11,1070.82,1556.49
DE,GERMANY,EUR,DE000A1EWWW0,ADIDAS,196.57,165.29,201.14,232.49,316.6,453.54,534.87,568.68,856.82,438.22,646.23,791.79,795.66,1097.43,1602.51,890.95,1277.03,2094.11,2693.55,2845.4,4483.92,5046.67,4009.74,1931.61
DE,GERMANY,EUR,DE000A2GS401,SOFTWARE N,202.17,257.62,127.2,33.04,72.03,112.63,173.27,284.19,323.26,210.58,422.49,570.99,435.87,511.16,429.62,305.59,367.44,470.56,735.18,480.08,478.52,572.08,565.9,377.32
DE,GERMANY,EUR,DE000BASF111,BASF,2114.81,1926.28,1643.64,1708.01,2652.59,3490.34,3830.94,5044.5,7905.07,4265.22,7465.35,9946.02,8888.87,12483.49,14729.43,12083.4,11265.69,14175.91,17414.27,11292.69,12964.33,14429.27,13420.93,10169.74
DE,GERMANY,EUR,DE000BAY0017,BAYER,2427.1,2792.78,1735.42,1174.71,1742.98,2043.59,2736.74,3639.01,6285.53,4064.44,5912.44,5575.93,4946.81,7564.49,11500.87,11436.63,10709.92,9064.74,11108.48,6461.0,7981.09,6036.94,5661.89,5663.21
DE,GERMANY,EUR,DE000CBK1001,COMMERZBANK,1181.23,944.71,526.33,274.61,686.06,724.95,1103.76,1376.49,1424.85,362.07,327.6,289.71,81.84,91.41,104.73,86.16,67.62,50.81,99.58,43.74,42.39,44.22,52.13,64.19
