ISIN_First2,Unnamed: 1,Unnamed: 2,ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
FI,FINLAND,EUR,FI0009000202,KESKO B,,,,79.08,67.17,78.1,33.47,54.28,70.07,82.4,80.74,76.48,77.66,78.57,77.0,71.72,68.5,67.64,62.56,59.44,68.14,72.28,74.96,76.92
FI,FINLAND,EUR,FI0009000277,TIETOEVRY,,,,,,,49.32,45.35,62.54,67.12,69.1,70.85,70.27,67.51,61.24,61.68,64.27,66.16,58.46,69.03,63.1,61.58,60.08,62.35
FI,FINLAND,EUR,FI0009000681,NOKIA,,,,61.0,65.93,67.19,66.81,68.11,66.64,78.17,79.67,82.6,81.74,88.41,84.37,80.3,87.32,89.66,91.33,91.32,91.58,92.03,86.74,82.82
FI,FINLAND,EUR,FI0009002158,UPONOR,,,,39.66,36.78,40.17,38.03,40.98,28.73,45.39,49.28,46.52,43.18,42.53,40.57,39.38,42.47,50.49,59.62,58.34,59.48,60.96,72.75,76.04
FI,FINLAND,EUR,FI0009002422,OUTOKUMPU 'A',,,,34.18,34.35,51.08,63.05,63.12,68.39,64.26,80.04,66.72,67.06,64.46,65.3,68.08,68.79,70.69,70.76,79.52,88.23,87.91,84.91,84.83
FI,FINLAND,EUR,FI0009003727,WARTSILA,,,,81.44,56.64,77.35,65.77,60.18,53.26,60.02,66.32,65.0,64.88,63.18,63.76,66.78,75.29,71.85,75.72,77.66,83.15,84.33,82.31,78.03
FI,FINLAND,EUR,FI0009005318,NOKIAN RENKAAT,,,,23.68,27.47,22.51,11.1,37.19,22.93,24.01,21.53,26.02,32.86,31.33,34.65,36.83,47.02,47.95,58.71,59.49,62.88,66.03,64.57,64.49
FI,FINLAND,EUR,FI0009005870,KONECRANES,,,,14.78,8.6,37.02,22.32,10.95,15.07,17.32,19.61,44.92,41.7,57.36,57.57,59.85,58.79,59.86,61.96,71.46,78.63,76.72,76.56,80.45
FI,FINLAND,EUR,FI0009005961,STORA ENSO R,,,,,,,66.04,38.42,66.61,67.32,65.96,76.88,74.48,79.71,78.69,82.61,79.61,82.69,83.65,81.26,83.0,85.64,84.96,83.01
FI,FINLAND,EUR,FI0009005987,UPM-KYMMENE,,,,52.89,65.53,60.08,67.27,74.79,76.51,78.31,79.37,76.0,67.55,62.63,67.41,69.16,79.38,82.92,84.85,86.71,88.79,88.77,88.33,88.26
FI,FINLAND,EUR,FI0009007132,FORTUM,,,,,,,33.6,41.44,62.87,62.58,58.48,69.79,65.94,69.89,72.15,79.65,77.58,72.66,72.07,74.48,75.51,79.16,71.54,68.74
FI,FINLAND,EUR,FI0009007694,SANOMA,,,,,,15.72,20.8,20.92,34.64,36.64,32.0,45.11,43.05,50.82,51.56,53.58,56.41,55.02,48.19,55.45,61.52,77.03,78.8,77.79
FI,FINLAND,EUR,FI0009007884,ELISA,,,,20.84,28.91,36.59,22.04,28.77,32.19,30.24,36.49,33.12,43.53,45.45,44.11,47.9,50.83,48.9,54.42,51.87,55.52,57.19,55.53,54.52
FI,FINLAND,EUR,FI0009013296,NESTE,,,,,,,21.81,25.75,59.64,60.76,59.08,66.88,78.66,69.0,69.45,68.87,68.63,77.57,73.38,77.98,74.89,72.44,79.03,78.5
FI,FINLAND,EUR,FI0009013403,KONE B,,,,18.48,20.32,8.17,10.99,10.58,20.33,31.67,37.29,33.83,49.19,48.33,47.78,48.38,51.88,57.02,53.59,58.62,59.41,65.79,66.66,63.11
FI,FINLAND,EUR,FI0009013429,CARGOTEC B,,,,,,,24.85,20.98,35.43,43.37,44.75,52.12,49.4,47.84,49.47,50.67,56.26,56.93,61.25,73.11,73.03,75.93,72.06,74.99
FI,FINLAND,EUR,FI0009800643,YIT,,,,22.22,14.8,17.97,23.01,15.5,14.84,22.42,36.41,40.46,54.74,58.87,57.29,44.16,52.79,51.73,53.62,59.33,60.74,68.35,67.23,65.72
FI,FINLAND,EUR,FI4000297767,NORDEA BANK,,,,,,,32.76,42.26,43.81,63.91,56.28,63.88,71.71,69.09,69.66,66.71,65.1,65.26,64.02,74.72,67.41,70.94,76.0,75.2
FI,FINLAND,EUR,FI4000440664,NELES DEAD - DELIST.01/04/22,,,,44.07,39.99,59.34,56.36,45.89,58.35,68.0,74.64,79.45,74.01,67.67,67.01,76.62,80.23,73.99,76.39,77.36,64.71,64.62,81.56,
FR,FRANCE ,EUR,FR0000035081,ICADE REIT,,,,,,,,11.29,27.09,32.61,26.25,30.89,36.4,44.47,32.07,41.36,45.02,63.1,76.53,79.87,70.7,73.23,68.81,71.84
FR,FRANCE ,EUR,FR0000039109,SECHE ENVIRONNEMENT,,,,,,17.59,23.47,23.89,33.6,36.27,35.06,28.2,28.28,31.46,32.4,42.55,43.03,48.75,50.0,50.33,48.36,47.19,46.65,44.43
FR,FRANCE ,EUR,FR0000044448,NEXANS,,,,,,27.22,20.31,25.88,28.4,36.72,37.65,36.42,55.96,55.34,52.96,58.73,68.05,59.06,72.5,84.67,83.83,79.39,80.08,80.02
FR,FRANCE ,EUR,FR0000045072,CREDIT AGRICOLE,,,,24.5,28.41,24.75,57.02,65.06,67.68,64.72,72.11,68.43,69.75,71.23,67.12,60.93,61.66,60.94,71.56,63.71,71.44,69.54,66.27,
FR,FRANCE ,EUR,FR0000051732,ATOS,,,,,,,47.47,34.87,51.19,40.21,60.26,54.15,54.18,50.88,56.59,65.91,68.63,67.58,73.0,74.29,66.58,74.41,75.48,
FR,FRANCE ,EUR,FR0000052292,HERMES INTL.,,,,,,,25.46,29.47,37.99,28.9,41.46,38.51,50.54,52.41,46.28,37.74,43.6,42.7,53.52,55.79,56.61,65.95,63.98,57.94
FR,FRANCE ,EUR,FR0000053225,M6-METROPOLE TV,,,,,,31.61,33.11,30.26,31.72,37.84,37.8,28.38,44.69,42.58,47.02,52.59,51.37,53.32,52.82,53.54,66.0,65.07,70.34,62.28
FR,FRANCE ,EUR,FR0000054470,UBISOFT ENTERTAINMENT CAT A,,,,,,,,,15.56,17.58,16.99,13.16,10.63,17.9,19.86,42.16,43.15,43.0,50.03,51.6,49.66,58.42,63.24,52.28
FR,FRANCE ,EUR,FR0000054900,TF1 (TV.FSE.1),,,,42.37,27.5,39.68,37.6,29.99,50.29,58.0,53.34,58.01,56.47,58.96,58.38,72.47,69.19,77.77,75.32,79.25,73.42,76.3,79.47,78.02
FR,FRANCE ,EUR,FR0000064578,COVIVIO,,,,,,18.12,14.15,15.55,44.31,40.32,49.13,60.06,73.23,73.6,74.6,70.2,72.66,63.03,62.08,63.35,78.9,79.85,81.63,
FR,FRANCE ,EUR,FR0000073272,SAFRAN,,,,12.64,32.11,35.47,43.12,33.55,31.1,41.15,48.47,35.85,41.0,35.89,37.89,37.58,40.2,40.42,54.94,56.85,57.99,64.21,61.6,71.1
FR,FRANCE ,EUR,FR0000077919,JCDECAUX,,,,,,46.23,41.93,45.5,54.82,63.4,55.99,53.16,59.98,74.42,69.79,72.44,60.89,71.81,73.76,75.03,78.21,75.05,78.71,80.47
FR,FRANCE ,EUR,FR0000120073,L AIR LQE.SC.ANYME. POUR L ETUDE ET L EPXTN.,,,,,,,56.21,48.28,45.99,58.93,62.61,64.05,59.87,58.37,57.63,58.27,63.74,58.81,63.24,68.58,76.76,75.49,72.64,85.73
FR,FRANCE ,EUR,FR0000120172,CARREFOUR,,,,34.84,25.3,29.57,33.24,43.15,73.32,79.96,78.43,73.41,77.05,75.06,74.09,65.04,66.4,71.93,78.63,77.83,77.49,74.19,77.94,80.63
FR,FRANCE ,EUR,FR0000120222,CNP ASSURANCES DEAD - DELIST.20/06/22,,,,,,,58.49,49.13,49.51,53.41,46.66,52.29,55.94,62.94,57.31,51.53,57.09,53.41,66.63,67.6,63.87,74.21,71.81,
FR,FRANCE ,EUR,FR0000120271,TOTALENERGIES,,,,48.05,42.73,54.24,65.65,58.45,67.18,67.94,68.3,62.47,86.29,83.93,82.86,86.15,84.9,89.38,89.34,84.89,85.64,89.48,83.93,82.51
FR,FRANCE ,EUR,FR0000120321,L'OREAL,,,,27.23,40.46,43.84,58.33,64.46,74.4,77.68,83.25,84.21,77.91,81.0,79.78,81.89,86.7,83.23,76.22,78.52,79.27,78.31,80.07,78.87
FR,FRANCE ,EUR,FR0000120404,ACCOR,,,,39.01,56.46,52.8,65.81,62.12,59.56,53.64,51.9,61.22,69.42,64.25,69.02,68.73,75.16,75.08,79.49,77.98,81.17,81.97,80.58,79.6
FR,FRANCE ,EUR,FR0000120503,BOUYGUES,,,,41.03,38.82,36.51,41.43,40.34,46.45,60.35,68.69,70.93,59.77,57.79,57.11,59.01,63.16,61.62,64.55,66.71,65.43,72.98,69.88,73.79
FR,FRANCE ,EUR,FR0000120560,QUADIENT,,,,20.54,35.63,47.73,23.28,33.73,24.05,15.97,32.45,28.79,26.17,30.48,38.69,33.05,38.35,51.69,64.5,74.39,78.15,75.48,86.31,87.45
FR,FRANCE ,EUR,FR0000120578,SANOFI,,,,32.5,33.57,57.24,42.12,58.07,76.7,76.14,74.44,73.21,84.99,86.85,88.66,84.89,82.6,85.29,85.27,89.42,89.04,89.54,90.66,89.74
FR,FRANCE ,EUR,FR0000120628,AXA,,,,52.74,58.85,54.82,72.22,69.0,84.84,80.57,81.36,81.34,82.72,83.34,81.3,86.52,82.38,76.11,82.23,85.99,84.4,81.2,79.79,77.41
FR,FRANCE ,EUR,FR0000120644,DANONE,,,,,,,71.81,79.96,75.17,79.58,87.29,85.37,88.47,84.3,84.38,84.14,86.32,85.03,84.61,85.51,82.98,83.27,82.74,85.22
FR,FRANCE ,EUR,FR0000120693,PERNOD-RICARD,,,,25.0,31.6,52.03,25.42,30.49,33.34,39.38,48.22,52.49,52.87,55.75,58.98,64.29,58.83,70.53,67.96,73.1,68.74,69.42,71.19,66.76
