ISIN,NAME,x1999,x2000,x2001,x2002,x2003,x2004,x2005,x2006,x2007,x2008,x2009,x2010,x2011,x2012,x2013,x2014,x2015,x2016,x2017,x2018,x2019,x2020,x2021,x2022
US7234841010,PINNACLE WEST CAP.,,,,24.92,36.17,56.16,53.93,49.77,69.33,78.56,84.54,86.24,74.07,74.13,68.55,67.83,68.76,61.94,61.83,87.11,82.96,73.42,72.8,87.24
US7237871071,PIONEER NTRL.RES.,,,,,,0,0,1.95,1.83,8.6,5.24,3.72,11.24,8.87,10.53,15.39,8.95,29.64,22.2,26.92,26.45,33.36,33.16,78.26
US7244791007,PITNEY-BOWES,,,,0,0,0,0,0,19.66,35.13,32.59,30.71,28.56,26.87,18.38,19.66,20.33,12.69,30.74,35.03,30.92,37.63,41.04,48.3
US74144T1088,T ROWE PRICE GROUP,,,,27.78,27.78,26.48,26.3,26.68,21.9,18.86,44.23,44.61,49.58,64.01,64.44,61.34,65.11,69.83,67.2,50.11,48.4,48.43,50.02,
US74251V1026,PRINCIPAL FINL.GP.,,,,28.38,28.42,28.33,27.21,26.86,29.89,63.19,64.54,67.21,83.24,80.85,84.67,87.47,76.92,79.37,81.39,78.44,78.24,77.61,87.29,88.12
US7427181091,PROCTER & GAMBLE,,,,18.94,28.88,18.54,21.39,33.85,58.19,65.83,66.05,81.68,77.64,79.9,80.43,83.38,83.94,72.31,76.83,79.87,86.99,85.19,68.86,
US7433151039,PROGRESSIVE OHIO,,,,28.38,28.42,28.33,27.21,26.86,31.93,27.48,32.9,32.91,29.71,29.07,25.82,26.47,28.01,30.93,24.56,10.12,9.83,9.74,7.99,7.73
US74340W1036,PROLOGIS REIT,,,,,,0,0,0,16.87,18.23,79.24,78.72,78.84,79.41,78.75,82.2,89.24,83.71,86.04,85.18,79.68,72.09,68.12,66.81
US7443201022,PRUDENTIAL FINL.,,,,28.38,28.42,28.33,27.21,26.86,36.9,79.15,88.06,86.37,89.74,88.25,89.04,87.9,90.47,89.25,90.73,83.86,81.02,79.19,75.74,77.36
US7445731067,PUB.SER.ENTER.GP.,,,,29.32,26.39,18.85,16.49,25.22,51.77,57.99,84.85,74.51,59.27,57.67,61.7,63.38,58.04,66.27,76.13,77.4,79.06,58.9,,
US74460D1090,PUBLIC STORAGE,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.84,17.42,23.08,67.22,72.6,68.33,
US7458671010,PULTEGROUP,,,,0,0,0,0,0,6.99,8.87,9.89,9.07,27.42,25.3,30.15,27.41,36.2,45.63,46.77,46.45,39.4,35.48,35.34,47.4
